 year doy hour dst
 2021 29 10 -13
 2021 29 11 -15
 2021 29 12 -15
 2021 29 13 -13
 2021 29 14 -9
 2021 29 15 -8
 2021 29 16 -11
 2021 29 17 -12
 2021 29 18 -10
 2021 29 19 -10
 2021 29 20 -9
 2021 29 21 -8
 2021 29 22 -9
 2021 29 23 -10
 2021 30 0 -5
 2021 30 1 -4
 2021 30 2 -5
 2021 30 3 -8
 2021 30 4 -8
 2021 30 5 -9
 2021 30 6 -9
 2021 30 7 -10
 2021 30 8 -9
 2021 30 9 -9
 2021 30 10 -11
 2021 30 11 -10
 2021 30 12 -8
 2021 30 13 -5
 2021 30 14 -4
 2021 30 15 -4
 2021 30 16 -5
 2021 30 17 -5
 2021 30 18 -5
 2021 30 19 -4
 2021 30 20 -3
 2021 30 21 -2
 2021 30 22 -4
 2021 30 23 -6
 2021 31 0 -7
 2021 31 1 -5
 2021 31 2 -4
 2021 31 3 -3
 2021 31 4 -2
 2021 31 5 -2
 2021 31 6 -3
 2021 31 7 -2
 2021 31 8 -3
 2021 31 9 -4
 2021 31 10 -5
 2021 31 11 -4
 2021 31 12 0
 2021 31 13 5
 2021 31 14 7
 2021 31 15 5
 2021 31 16 3
 2021 31 17 3
 2021 31 18 4
 2021 31 19 4
 2021 31 20 3
 2021 31 21 3
 2021 31 22 3
 2021 31 23 1
 2021 32 0 5
 2021 32 1 5
 2021 32 2 3
 2021 32 3 4
 2021 32 4 4
 2021 32 5 5
 2021 32 6 6
 2021 32 7 7
 2021 32 8 7
 2021 32 9 8
 2021 32 10 10
 2021 32 11 9
 2021 32 12 9
 2021 32 13 11
 2021 32 14 11
 2021 32 15 11
 2021 32 16 8
 2021 32 17 4
 2021 32 18 7
 2021 32 19 9
 2021 32 20 8
 2021 32 21 8
 2021 32 22 10
 2021 32 23 18
 2021 33 0 23
 2021 33 1 12
 2021 33 2 14
 2021 33 3 -1
 2021 33 4 0
 2021 33 5 -6
 2021 33 6 -3
 2021 33 7 0
 2021 33 8 1
 2021 33 9 2
 2021 33 10 -5
 2021 33 11 3
 2021 33 12 1
 2021 33 13 -5
 2021 33 14 -4
 2021 33 15 -7
 2021 33 16 -8
 2021 33 17 -8
 2021 33 18 -5
 2021 33 19 -2
 2021 33 20 0
 2021 33 21 0
 2021 33 22 -2
 2021 33 23 -7
 2021 34 0 -7
 2021 34 1 -12
 2021 34 2 -16
 2021 34 3 -11
 2021 34 4 -7
 2021 34 5 -2
 2021 34 6 -1
 2021 34 7 -4
 2021 34 8 -4
 2021 34 9 2
 2021 34 10 3
 2021 34 11 3
 2021 34 12 6
 2021 34 13 9
 2021 34 14 7
 2021 34 15 1
 2021 34 16 -2
 2021 34 17 -5
 2021 34 18 -9
 2021 34 19 -17
 2021 34 20 -18
 2021 34 21 -19
 2021 34 22 -17
 2021 34 23 -17
 2021 35 0 -18
 2021 35 1 -22
 2021 35 2 -25
 2021 35 3 -22
 2021 35 4 -23
 2021 35 5 -20
 2021 35 6 -14
 2021 35 7 -11
 2021 35 8 -7
 2021 35 9 -5
 2021 35 10 -5
 2021 35 11 -6
 2021 35 12 -6
 2021 35 13 -7
 2021 35 14 -8
 2021 35 15 -7
 2021 35 16 -7
 2021 35 17 -6
 2021 35 18 -4
 2021 35 19 -1
 2021 35 20 0
 2021 35 21 -2
 2021 35 22 -6
 2021 35 23 -9
 2021 36 0 -10
 2021 36 1 -9
 2021 36 2 -9
 2021 36 3 -11
 2021 36 4 -14
 2021 36 5 -12
 2021 36 6 -9
 2021 36 7 -8
 2021 36 8 -5
 2021 36 9 -4
 2021 36 10 -6
 2021 36 11 -5
 2021 36 12 -3
 2021 36 13 -3
 2021 36 14 -4
 2021 36 15 -6
 2021 36 16 -7
 2021 36 17 -6
 2021 36 18 -3
 2021 36 19 -2
 2021 36 20 -2
 2021 36 21 -5
 2021 36 22 -7
 2021 36 23 -8
 2021 37 0 -10
 2021 37 1 -9
 2021 37 2 -9
 2021 37 3 -7
 2021 37 4 -5
 2021 37 5 -2
 2021 37 6 2
 2021 37 7 5
 2021 37 8 7
 2021 37 9 7
 2021 37 10 8
 2021 37 11 7
 2021 37 12 3
 2021 37 13 3
 2021 37 14 3
 2021 37 15 0
 2021 37 16 -1
 2021 37 17 -3
 2021 37 18 -5
 2021 37 19 -9
 2021 37 20 -12
 2021 37 21 -7
 2021 37 22 0
 2021 37 23 8
 2021 38 0 6
 2021 38 1 -3
 2021 38 2 -5
 2021 38 3 -9
 2021 38 4 -20
 2021 38 5 -27
 2021 38 6 -20
 2021 38 7 -18
 2021 38 8 -20
 2021 38 9 -26
 2021 38 10 -31
 2021 38 11 -17
 2021 38 12 -14
 2021 38 13 -14
 2021 38 14 -15
 2021 38 15 -15
 2021 38 16 -14
 2021 38 17 -12
 2021 38 18 -8
 2021 38 19 0
 2021 38 20 2
 2021 38 21 -1
 2021 38 22 -3
 2021 38 23 -2
 2021 39 0 -2
 2021 39 1 -1
 2021 39 2 -4
 2021 39 3 -4
 2021 39 4 -3
 2021 39 5 -2
 2021 39 6 -3
 2021 39 7 -3
 2021 39 8 -2
 2021 39 9 1
 2021 39 10 0
 2021 39 11 1
 2021 39 12 2
 2021 39 13 5
 2021 39 14 5
 2021 39 15 4
 2021 39 16 3
 2021 39 17 2
 2021 39 18 4
 2021 39 19 5
 2021 39 20 5
 2021 39 21 -6
 2021 39 22 -2
 2021 39 23 0
 2021 40 0 2
